site_code,reef_name,lat,long,zone,region,sector,situation,depth_morph,geomorph,Harris_site,report_site
CS249,Mellish Shark Junction,-17.35,155.84,Open,GBR,,,,,No,No
GBR282,Lizzi's Fish Soup,-21.55,152.39,Open,GBR,,,,,No,No
CS251,Mellish Coral Schoolies,-17.36,155.85,Open,GBR,,,,,No,No
NC11,Petit U outer,-22.02,165.92,Open,GBR,,,,,No,No
NC16,Fausse Passe de Uitoe,-22.29,166.18,Open,GBR,,,,,No,No
NC13,Bomies Petit U,-22.02,165.93,Open,GBR,,,,,No,No
NC12,Fausse Passe Tenia,-22.01,165.93,Open,GBR,,,,,No,No
NC15,Yate Iya,-22.17,166.97,Open,GBR,,,,,No,No
NC14,Recif Tabu,-22.49,166.45,Open,GBR,,,,,No,No
CS257,Flora Reef Lagoon,-16.76,147.74,Open,GBR,,,,,No,No
CS256,Flora Reef Dropoff,-16.75,147.71,Open,GBR,,,,,No,No
GBR304,Milln Back Reef,-16.79,146.27,Open,GBR,,,,,No,No
TS29,Half Way Island Boulders,-10.1,143.32,Open,GBR,,,,,No,No
TS31,3/4 Reef,-10.07,143.69,Open,GBR,,,,,No,No
TS32,Halfway Island 3,-10.1,143.31,Open,GBR,,,,,No,No
TS30,Half Way Island Slope,-10.1,143.31,Open,GBR,,,,,No,No
GBR307,Ribbon Reef #2,-15.58,145.79,Open,GBR,,,,,No,No
GBR305,Agincourt Reef Slope,-15.96,145.81,Open,GBR,,,,,No,No
GBR308,Ribbon Reef #2 Anchorage,-15.58,145.79,Open,GBR,,,,,No,No
GBR309,Ribbon Reef #5 South Satellite,-15.39,145.76,Open,GBR,,,,,No,No
GBR311,Ribbon Reef #5 North Satellite Anchorage,-15.33,145.75,Open,GBR,,,,,No,No
GBR312,Ribbon Reef #7,-15.23,145.74,Open,GBR,,,,,No,No
TS38,Sixth Reef Lagoon,-10.33,143.7,Open,GBR,,,,,No,No
TS36,Eighth Reef flats,-10.42,143.68,Open,GBR,,,,,No,No
GBR313,Eve Reef,-13.96,144.57,Open,GBR,,,,,No,No
TS34,Eighth Reef Garden,-10.42,143.68,Open,GBR,,,,,No,No
GBR310,Ribbon Reef #5 North Satellite,-15.34,145.75,Open,GBR,,,,,No,No
TS35,Seven Reefs Dropoff,-10.29,143.71,Open,GBR,,,,,No,No
TS33,Sixth Reef Bommie,-10.33,143.7,Open,GBR,,,,,No,No
TS37,Eighth Reef East Inlet,-10.42,143.69,Open,GBR,,,,,No,No
GBR331,South Pioneer Bay,-18.61,146.48,Open,GBR,,,,,No,No
GBR329,Snapper Bay Reef,-18.66,146.51,Open,GBR,,,,,No,No
GBR306,Agincourt Bommie,-15.97,145.82,Open,GBR,,,,,No,No
GBR332,North East Point,-18.59,146.5,Open,GBR,,,,,No,No
GBR330,Harriet Bay,-18.66,146.49,Open,GBR,,,,,No,No
CS49,Saumarez olive seasnake,-21.9,153.54,Open,GBR,,,,,No,No
NC19,Coral Garden Passe de Uitoe,-22.14,166.08,Open,GBR,,,,,No,No
VAN30,Nagohune Point,-15.27,167.99,Open,GBR,,,,,No,No
VAN19,Malapoa Point,-17.74,168.29,Open,GBR,,,,,No,No
VAN7,Tanna Northwest,-19.07,169.25,Open,GBR,,,,,No,No
VAN39,Aese South Point,-15.46,167.26,Open,GBR,,,,,No,No
VAN34,Million Dollar Point,-15.53,167.24,Open,GBR,,,,,No,No
VAN12,Aniwa Wall,-19.22,169.6,Open,GBR,,,,,No,No
VAN16,Supmu Point,-18.83,169.01,Open,GBR,,,,,No,No
VAN18,Pango Point,-17.74,168.29,Open,GBR,,,,,No,No
VAN11,Aniwa Canyon,-19.22,169.6,Open,GBR,,,,,No,No
VAN26,Teterigi Point Rocks,-15.38,168.12,Open,GBR,,,,,No,No
VAN6,Tanna North Slabs,-19.33,169.27,Open,GBR,,,,,No,No
VAN35,Aisari Bay Outer Reef,-15.57,167.21,Open,GBR,,,,,No,No
VAN31,Vatuhi Vavine Rock,-15.27,167.98,Open,GBR,,,,,No,No
VAN29,Uncle Tommy Bommie,-15.38,168.13,Open,GBR,,,,,No,No
VAN38,Narurundo Point,-15.54,167.28,Open,GBR,,,,,No,No
VAN9,Lenafa,-19.38,169.25,Open,GBR,,,,,No,No
VAN21,Blue Bay,-17.7,168.24,Open,GBR,,,,,No,No
VAN28,Anmari,-15.39,168.14,Open,GBR,,,,,No,No
VAN5,Tanna North Boulders,-19.32,169.3,Open,GBR,,,,,No,No
VAN33,Singo Loloaru Point,-15.27,167.97,Open,GBR,,,,,No,No
VAN36,Aisari Bay Reef,-15.57,167.21,Open,GBR,,,,,No,No
VAN8,Tanna Northwest Rocks,-19.38,169.25,Open,GBR,,,,,No,No
VAN32,Vuinago Point,-15.28,167.98,Open,GBR,,,,,No,No
VAN27,Teterigi Point,-15.38,168.12,Open,GBR,,,,,No,No
VAN20,Mele Bay North Reef,-17.7,168.24,Open,GBR,,,,,No,No
VAN24,Cook Reef East,-17.05,168.29,Open,GBR,,,,,No,No
VAN14,Nipmi Lows Point,-18.77,168.98,Open,GBR,,,,,No,No
VAN17,Umatuo Point,-18.84,168.99,Open,GBR,,,,,No,No
VAN4,Tanna North,-19.32,169.31,Open,GBR,,,,,No,No
VAN13,Aniwa Arcatus,-19.23,169.6,Open,GBR,,,,,No,No
VAN15,Vetiel Point,-18.81,169.01,Open,GBR,,,,,No,No
VAN3,Port Resolution Reef,-19.52,169.49,Open,GBR,,,,,No,No
VAN10,Blacksand Slab,-19.39,169.25,Open,GBR,,,,,No,No
VAN40,Naoreure Point,-15.47,167.25,Open,GBR,,,,,No,No
VAN23,Eretoka Central,-17.64,168.15,Open,GBR,,,,,No,No
VAN22,Eretoka North,-17.63,168.16,Open,GBR,,,,,No,No
VAN37,Patumbuma Outer Reef,-15.54,167.29,Open,GBR,,,,,No,No
VAN25,Cook Reef Northeast,-17.04,168.26,Open,GBR,,,,,No,No
VAN2,Porumea Channel,-17.57,168.21,Open,GBR,,,,,No,No
NT28,New Year Island light,-10.9,133.03,Open,GOC,,,,,No,No
NT29,New Year Island South West,-10.91,133.03,Open,GOC,,,,,No,No
NT33,Paxie Shoal North West,-11.433,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No
NT34,Paxie Shoal West,-11.45,134.133,Open,GOC,Outer-shoals,Offshore,Submerged,Shoal,No,No
