year,site_code,survey_date,depth,block,list,transect_1,transect_2,reef_name,lat,long,zone,region,situation,depth_morph,geomorph,Harris_site,report_site,depth_m
2015,NT59,2015-11-11,3,2,Reef_fish,1,4,Cape Beatrice Islet West,-14.35,136.94,Open,Western,Nearshore,Emergent,Fringing,No,Yes,3
2015,NT60,2015-11-12,19,2,Reef_fish,2,1,Groper Shoal,-15.47,137.92,Open,Southern,Offshore,Submerged,Pinnacle,R7,Yes,19
2015,NT60,2015-11-12,19,1,Reef_fish,2,2,Groper Shoal,-15.47,137.92,Open,Southern,Offshore,Submerged,Pinnacle,R7,Yes,19
2015,NT49,2015-11-05,8,1,Reef_fish,1,3,Bonner Rocks NE,-12.06,136.61,Open,Northwest,Nearshore,Emergent,Shoal,No,Yes,8
2015,NT49,2015-11-05,8,2,Reef_fish,1,4,Bonner Rocks NE,-12.06,136.61,Open,Northwest,Nearshore,Emergent,Shoal,No,Yes,8
2015,NT50,2015-11-05,5,1,Reef_fish,1,1,Bonner Rocks NW,-12.06,136.611,Open,Northwest,Nearshore,Emergent,Shoal,No,No,5
2015,NT60,2015-11-12,18.5,1,Reef_fish,1,3,Groper Shoal,-15.47,137.92,Open,Southern,Offshore,Submerged,Pinnacle,R7,Yes,18.5
2015,NT60,2015-11-12,18.5,2,Reef_fish,1,4,Groper Shoal,-15.47,137.92,Open,Southern,Offshore,Submerged,Pinnacle,R7,Yes,18.5
2015,GC11,2015-11-13,19.5,1,Reef_fish,2,1,Chinamans Reef,-15.89,139.03,Blue,Southern,Offshore,Submerged,Pinnacle,No,Yes,19.5
2015,GC11,2015-11-13,19.5,2,Reef_fish,2,2,Chinamans Reef,-15.89,139.03,Blue,Southern,Offshore,Submerged,Pinnacle,No,Yes,19.5
2015,GC11,2015-11-13,19,1,Reef_fish,1,3,Chinamans Reef,-15.89,139.03,Blue,Southern,Offshore,Submerged,Pinnacle,No,Yes,19
2015,GC11,2015-11-13,19,2,Reef_fish,1,4,Chinamans Reef,-15.89,139.03,Blue,Southern,Offshore,Submerged,Pinnacle,No,Yes,19
